Id,Title,Type,Category,Genre,Description,Createddate,RankingScore,PopularityScore
507,Barbie,Movie,Hollywood,Fantasy,Mind-bending visuals and deep philosophical themes.,2014-01-31,7.8,70
508,The Irishman,Movie,Hollywood,"Thriller, Thriller",Mind-bending visuals and deep philosophical themes.,2019-02-11,7.3,79
509,The Irishman,Movie,Bollywood,Biography,Heartwarming tale with unforgettable characters.,2019-03-02,9.7,96
510,The Batman 8,Movie,International,"Sci-Fi, Thriller",A masterpiece of direction and acting.,2018-03-12,8.7,91
511,Barbie,Movie,International,Fantasy,A gripping story of heroism and sacrifice.,2019-10-30,7.7,91
512,Avengers: Endgame,Movie,International,Sci-Fi,A masterpiece of direction and acting.,2019-06-24,6.6,81
513,Oppenheimer,Movie,Classic,Sci-Fi,Intense psychological thriller.,2020-01-29,7.3,73
514,Forrest Gump 7,Movie,Hollywood,Crime,Mind-bending visuals and deep philosophical themes.,2023-10-17,6.2,66
515,Knives Out 3,Movie,International,"Crime, Crime",Mind-bending visuals and deep philosophical themes.,2020-06-06,9.5,96
516,Whiplash 3,Movie,International,"Action, Biography",Intense psychological thriller.,2024-11-12,9.6,94
517,The Matrix,Movie,Indie,Adventure,Visual spectacle with groundbreaking effects.,2022-07-25,6.5,68
518,Knives Out,Movie,International,"Action, Sci-Fi",Mind-bending visuals and deep philosophical themes.,2014-11-03,7.9,79
519,Inception,Movie,Blockbuster,Mystery,Intense psychological thriller.,2014-03-28,6.5,69
520,Inception,Movie,Bollywood,"Biography, Sci-Fi",Intense psychological thriller.,2015-12-26,7.1,81
521,No Time to Die,Movie,Indie,"Comedy, Horror",Visual spectacle with groundbreaking effects.,2013-08-29,6.1,70
522,La La Land 5,Movie,Bollywood,Horror,Visual spectacle with groundbreaking effects.,2016-12-28,8.2,66
523,Black Panther 4,Movie,Bollywood,Thriller,Revolutionary storytelling and stunning action.,2019-11-02,8.8,96
524,Interstellar,Movie,Indie,Biography,A gripping story of heroism and sacrifice.,2016-06-11,6.8,89
525,The Grand Budapest Hotel,Movie,Blockbuster,"Biography, Adventure",Revolutionary storytelling and stunning action.,2022-02-09,9.8,90
526,The Matrix,Movie,Bollywood,Mystery,Visual spectacle with groundbreaking effects.,2013-01-14,9.2,84
527,The Godfather 7,Movie,International,Thriller,A gripping story of heroism and sacrifice.,2023-09-03,6.5,78
528,Dune,Movie,Classic,"Action, Biography",An epic journey through space and time.,2020-01-31,8.2,85
529,The Grand Budapest Hotel,Movie,Bollywood,Romance,A gripping story of heroism and sacrifice.,2015-03-04,8.4,73
530,Everything Everywhere All at Once,Movie,Classic,Drama,A gripping story of heroism and sacrifice.,2025-01-11,6.6,83
531,Black Panther,Movie,Hollywood,Fantasy,A gripping story of heroism and sacrifice.,2021-04-07,9.1,81
532,1917,Movie,Indie,Thriller,An epic journey through space and time.,2013-06-23,8.8,78
533,Spider-Man: No Way Home,Movie,Bollywood,"Romance, Drama",Revolutionary storytelling and stunning action.,2016-09-28,8.2,94
534,The Dark Knight 6,Movie,International,Mystery,A gripping story of heroism and sacrifice.,2017-09-24,7.2,85
535,Jojo Rabbit,Movie,Bollywood,Biography,Intense psychological thriller.,2013-10-25,9.5,66
536,The Matrix,Movie,Blockbuster,"Action, Mystery",Mind-bending visuals and deep philosophical themes.,2019-02-27,9.7,87
537,Spider-Man: No Way Home,Movie,Hollywood,"Mystery, Comedy",Intense psychological thriller.,2014-06-16,6.6,66
538,The Grand Budapest Hotel,Movie,Indie,Horror,An epic journey through space and time.,2024-09-13,9.7,99
539,Knives Out,Movie,Bollywood,"Drama, Horror",A gripping story of heroism and sacrifice.,2014-07-27,7.6,97
540,Top Gun: Maverick,Movie,Classic,"Adventure, Biography",Mind-bending visuals and deep philosophical themes.,2019-11-09,9.7,99
541,Jojo Rabbit,Movie,International,"Horror, Action",Mind-bending visuals and deep philosophical themes.,2018-03-05,8.8,93
542,Tenet,Movie,Indie,"Crime, Thriller",Heartwarming tale with unforgettable characters.,2025-09-08,6.6,82
543,Get Out 2,Movie,Bollywood,Romance,A masterpiece of direction and acting.,2019-01-13,7.0,96
544,Inception,Movie,Hollywood,Comedy,Visual spectacle with groundbreaking effects.,2016-08-25,7.1,76
545,Interstellar,Movie,Hollywood,"Fantasy, Comedy",A gripping story of heroism and sacrifice.,2023-04-07,7.3,70
546,1917 6,Movie,International,"Fantasy, Mystery",An epic journey through space and time.,2018-05-10,8.6,95
547,No Time to Die 3,Movie,Hollywood,"Action, Adventure",Intense psychological thriller.,2016-04-30,7.5,81
548,Parasite,Movie,Indie,"Drama, Comedy",Mind-bending visuals and deep philosophical themes.,2021-01-21,8.3,89
549,Top Gun: Maverick 5,Movie,Indie,Thriller,Intense psychological thriller.,2016-08-26,8.5,96
550,Jojo Rabbit,Movie,International,Biography,Intense psychological thriller.,2015-04-20,7.9,90
551,Fight Club,Movie,Classic,"Horror, Action",A gripping story of heroism and sacrifice.,2025-12-13,7.4,96
552,Tenet,Movie,Hollywood,Thriller,A gripping story of heroism and sacrifice.,2015-12-23,6.9,98
553,The Irishman,Movie,Bollywood,Horror,A gripping story of heroism and sacrifice.,2018-08-11,6.1,97
554,The Grand Budapest Hotel,Movie,Blockbuster,Adventure,Heartwarming tale with unforgettable characters.,2018-10-20,8.9,93
555,Forrest Gump,Movie,Indie,"Biography, Adventure",Revolutionary storytelling and stunning action.,2022-03-20,6.2,89
556,Knives Out,Movie,International,Mystery,Heartwarming tale with unforgettable characters.,2013-12-07,7.4,75
557,Fight Club 1,Movie,Hollywood,"Crime, Biography",Visual spectacle with groundbreaking effects.,2015-01-15,9.8,83
558,Inception,Movie,Indie,Adventure,Mind-bending visuals and deep philosophical themes.,2016-06-03,9.2,73
559,Whiplash,Movie,Bollywood,"Action, Comedy",Visual spectacle with groundbreaking effects.,2019-07-06,6.6,66
560,Whiplash 4,Movie,International,Thriller,A masterpiece of direction and acting.,2022-09-11,7.8,77
561,Inception,Movie,Classic,Biography,Mind-bending visuals and deep philosophical themes.,2015-03-01,6.0,79
562,Get Out,Movie,Indie,Fantasy,Heartwarming tale with unforgettable characters.,2019-08-11,9.1,72
563,Mad Max: Fury Road 6,Movie,Hollywood,"Crime, Romance",Intense psychological thriller.,2018-11-11,6.8,85
564,Inception 3,Movie,Hollywood,"Biography, Adventure",Intense psychological thriller.,2016-08-29,8.7,81
565,Pulp Fiction,Movie,International,Horror,Visual spectacle with groundbreaking effects.,2021-03-06,6.2,69
566,The Revenant 6,Movie,Bollywood,"Sci-Fi, Romance",Intense psychological thriller.,2019-03-17,9.3,96
567,The Godfather,Movie,Indie,"Mystery, Crime",Heartwarming tale with unforgettable characters.,2014-11-22,6.5,77
568,La La Land,Movie,Bollywood,Horror,An epic journey through space and time.,2021-08-27,8.2,65
569,Pulp Fiction,Movie,Classic,Sci-Fi,Mind-bending visuals and deep philosophical themes.,2020-03-04,7.6,81
570,Once Upon a Time in Hollywood,Movie,Blockbuster,Thriller,Mind-bending visuals and deep philosophical themes.,2017-09-15,8.9,96
571,No Time to Die,Movie,International,Adventure,Revolutionary storytelling and stunning action.,2016-12-02,7.2,77
572,Fight Club,Movie,Blockbuster,Crime,Revolutionary storytelling and stunning action.,2016-07-11,8.8,94
573,The Irishman,Movie,Classic,"Comedy, Fantasy",A masterpiece of direction and acting.,2022-10-14,7.3,74
574,Jojo Rabbit,Movie,Classic,"Comedy, Drama",A gripping story of heroism and sacrifice.,2023-09-01,8.4,89
575,Interstellar 1,Movie,Bollywood,"Biography, Fantasy",Revolutionary storytelling and stunning action.,2015-11-27,9.0,90
576,La La Land 1,Movie,Hollywood,"Horror, Crime",A masterpiece of direction and acting.,2025-09-20,8.1,90
577,Barbie,Movie,Indie,"Fantasy, Crime",A masterpiece of direction and acting.,2022-08-02,9.0,83
578,Dune,Movie,International,Mystery,Heartwarming tale with unforgettable characters.,2025-11-04,8.5,76
579,Barbie,Movie,Indie,"Action, Thriller",Mind-bending visuals and deep philosophical themes.,2024-09-10,9.8,77
580,Everything Everywhere All at Once,Movie,Blockbuster,Horror,An epic journey through space and time.,2018-11-11,6.5,84
581,The Revenant,Movie,Classic,Comedy,Mind-bending visuals and deep philosophical themes.,2013-12-22,7.9,78
582,Whiplash,Movie,Indie,Comedy,Heartwarming tale with unforgettable characters.,2021-08-12,9.0,97
583,Joker,Movie,International,"Adventure, Drama",Visual spectacle with groundbreaking effects.,2024-03-31,8.2,90
584,The Matrix 8,Movie,Bollywood,Adventure,A gripping story of heroism and sacrifice.,2020-10-10,6.0,89
585,The Shawshank Redemption,Movie,Bollywood,Crime,An epic journey through space and time.,2015-04-23,8.7,86
586,La La Land 4,Movie,Hollywood,Comedy,A masterpiece of direction and acting.,2025-04-11,6.6,90
587,Mad Max: Fury Road,Movie,Indie,"Sci-Fi, Biography",Intense psychological thriller.,2023-08-30,9.1,93
588,Knives Out,Movie,Blockbuster,"Drama, Crime",Intense psychological thriller.,2022-05-29,8.9,82
589,Knives Out,Movie,Indie,Crime,Intense psychological thriller.,2019-12-22,6.5,71
590,Everything Everywhere All at Once,Movie,Classic,"Romance, Mystery",Heartwarming tale with unforgettable characters.,2020-02-14,6.1,96
591,The Revenant 5,Movie,Hollywood,"Fantasy, Crime",Mind-bending visuals and deep philosophical themes.,2015-06-21,7.7,74
592,The Dark Knight,Movie,Indie,Romance,An epic journey through space and time.,2023-11-20,8.3,88
593,The Shawshank Redemption,Movie,Classic,"Mystery, Drama",Mind-bending visuals and deep philosophical themes.,2025-11-07,8.4,88
594,Barbie,Movie,Blockbuster,"Mystery, Sci-Fi",Intense psychological thriller.,2018-07-30,9.6,99
595,Top Gun: Maverick,Movie,Hollywood,"Fantasy, Drama",Intense psychological thriller.,2015-10-27,6.6,82
596,Joker 3,Movie,Bollywood,Comedy,Intense psychological thriller.,2013-02-22,7.7,95
597,Inception 7,Movie,Hollywood,Thriller,Intense psychological thriller.,2020-06-14,7.8,86
598,Top Gun: Maverick,Movie,Blockbuster,Romance,A gripping story of heroism and sacrifice.,2013-08-14,9.4,67
599,Inception,Movie,Bollywood,Action,Heartwarming tale with unforgettable characters.,2016-01-11,8.0,74
600,The Grand Budapest Hotel,Movie,Hollywood,Biography,A gripping story of heroism and sacrifice.,2015-12-24,8.4,92
601,The Dark Knight,Movie,Indie,Drama,Heartwarming tale with unforgettable characters.,2013-08-30,9.2,67
602,La La Land,Movie,Indie,Action,A masterpiece of direction and acting.,2014-09-18,6.7,96
603,1917,Movie,International,"Comedy, Horror",Heartwarming tale with unforgettable characters.,2025-07-25,7.7,95
604,Top Gun: Maverick,Movie,Classic,"Drama, Action",An epic journey through space and time.,2020-04-26,8.5,69
605,Mad Max: Fury Road 3,Movie,Indie,Adventure,Mind-bending visuals and deep philosophical themes.,2017-11-16,6.7,70
606,The Shawshank Redemption,Movie,Hollywood,Drama,Visual spectacle with groundbreaking effects.,2023-04-29,8.6,90
607,Mad Max: Fury Road 5,Movie,International,"Action, Adventure",Mind-bending visuals and deep philosophical themes.,2014-05-02,6.6,83
608,The Matrix 8,Movie,Indie,Adventure,A masterpiece of direction and acting.,2016-09-19,6.6,83
609,The Dark Knight,Movie,Hollywood,Romance,Revolutionary storytelling and stunning action.,2013-05-04,6.6,82
610,Oppenheimer 6,Movie,Bollywood,Mystery,Heartwarming tale with unforgettable characters.,2013-06-02,9.8,81
611,Everything Everywhere All at Once,Movie,Bollywood,"Crime, Crime",A gripping story of heroism and sacrifice.,2013-02-20,9.2,69
612,Tenet,Movie,Indie,"Crime, Drama",Revolutionary storytelling and stunning action.,2019-07-09,6.8,95
613,The Dark Knight 3,Movie,Bollywood,"Crime, Romance",Heartwarming tale with unforgettable characters.,2021-09-01,6.8,72
614,Interstellar 1,Movie,International,Drama,Intense psychological thriller.,2024-12-29,8.6,82
615,Black Panther 5,Movie,Hollywood,Adventure,Revolutionary storytelling and stunning action.,2017-11-04,6.5,85
616,Jojo Rabbit,Movie,Classic,Romance,Mind-bending visuals and deep philosophical themes.,2015-10-19,9.1,73
617,Fight Club 4,Movie,International,"Crime, Mystery",Visual spectacle with groundbreaking effects.,2013-09-01,9.3,94
618,Oppenheimer 7,Movie,Bollywood,Crime,Heartwarming tale with unforgettable characters.,2019-10-25,8.2,77
619,Interstellar,Movie,Classic,Romance,An epic journey through space and time.,2017-06-26,9.1,87
620,Forrest Gump,Movie,Classic,Fantasy,Intense psychological thriller.,2025-06-15,6.7,69
621,The Matrix 6,Movie,Blockbuster,Horror,A masterpiece of direction and acting.,2014-08-08,8.0,71
622,Dune,Movie,Bollywood,Adventure,Visual spectacle with groundbreaking effects.,2016-08-17,6.6,77
623,The Batman,Movie,Indie,Horror,Revolutionary storytelling and stunning action.,2019-07-29,7.9,66
624,Parasite,Movie,Blockbuster,"Comedy, Adventure",Revolutionary storytelling and stunning action.,2014-07-17,8.6,65
625,Parasite,Movie,Blockbuster,"Crime, Drama",A gripping story of heroism and sacrifice.,2025-04-24,9.5,79
626,Barbie,Movie,Indie,Sci-Fi,Intense psychological thriller.,2023-04-14,8.3,85
627,Pulp Fiction,Movie,Hollywood,Fantasy,A masterpiece of direction and acting.,2022-01-13,9.8,67
628,Mad Max: Fury Road,Movie,Blockbuster,"Drama, Biography",Revolutionary storytelling and stunning action.,2023-01-04,6.5,65
629,No Time to Die,Movie,Indie,"Romance, Biography",Mind-bending visuals and deep philosophical themes.,2024-02-16,9.4,96
630,The Dark Knight 1,Movie,Hollywood,"Adventure, Adventure",Heartwarming tale with unforgettable characters.,2021-06-07,6.7,93
631,Spider-Man: No Way Home,Movie,Classic,Drama,Mind-bending visuals and deep philosophical themes.,2022-09-17,8.7,69
632,Whiplash,Movie,International,"Horror, Action",Mind-bending visuals and deep philosophical themes.,2016-06-25,8.3,66
633,Black Panther 2,Movie,International,"Drama, Romance",A gripping story of heroism and sacrifice.,2017-10-27,7.7,83
634,Once Upon a Time in Hollywood 1,Movie,Blockbuster,"Adventure, Thriller",Intense psychological thriller.,2020-05-10,6.6,65
635,Forrest Gump,Movie,Hollywood,Biography,Heartwarming tale with unforgettable characters.,2022-02-16,9.8,78
636,The Grand Budapest Hotel,Movie,Bollywood,Adventure,A masterpiece of direction and acting.,2015-03-27,9.6,87
637,Pulp Fiction 6,Movie,Bollywood,Biography,Visual spectacle with groundbreaking effects.,2020-09-03,9.8,77
638,Forrest Gump,Movie,Hollywood,"Action, Drama",A gripping story of heroism and sacrifice.,2017-10-10,8.5,99
639,Tenet,Movie,Blockbuster,Mystery,Intense psychological thriller.,2018-05-24,6.7,83
640,The Irishman,Movie,Indie,Horror,A gripping story of heroism and sacrifice.,2019-10-01,7.6,99
641,Whiplash 2,Movie,Indie,Drama,An epic journey through space and time.,2014-07-12,7.7,67
642,Forrest Gump,Movie,Bollywood,"Comedy, Action",Mind-bending visuals and deep philosophical themes.,2016-01-22,7.0,77
643,The Grand Budapest Hotel 2,Movie,Blockbuster,Horror,An epic journey through space and time.,2017-03-21,8.2,98
644,Avengers: Endgame,Movie,Bollywood,Horror,A gripping story of heroism and sacrifice.,2025-01-02,6.0,86
645,The Revenant 1,Movie,Classic,"Biography, Action",A masterpiece of direction and acting.,2025-09-25,9.1,97
646,The Irishman,Movie,International,Crime,A gripping story of heroism and sacrifice.,2022-12-03,9.5,88
647,Whiplash 5,Movie,Blockbuster,Thriller,Visual spectacle with groundbreaking effects.,2024-11-17,9.4,99
648,Top Gun: Maverick,Movie,Bollywood,"Action, Horror",Revolutionary storytelling and stunning action.,2021-08-20,9.2,86
649,La La Land,Movie,Bollywood,"Thriller, Fantasy",Heartwarming tale with unforgettable characters.,2016-09-01,9.7,65
650,Pulp Fiction 4,Movie,Blockbuster,Fantasy,Heartwarming tale with unforgettable characters.,2019-01-05,9.5,67
651,Spider-Man: No Way Home 2,Movie,Classic,"Crime, Sci-Fi",Visual spectacle with groundbreaking effects.,2022-06-12,9.5,89
652,The Batman,Movie,Bollywood,"Biography, Fantasy",Revolutionary storytelling and stunning action.,2023-04-27,9.2,87
653,The Irishman,Movie,Blockbuster,"Comedy, Romance",A gripping story of heroism and sacrifice.,2012-11-10,7.6,70
654,Parasite,Movie,Bollywood,Sci-Fi,Revolutionary storytelling and stunning action.,2013-07-29,8.1,95
655,Everything Everywhere All at Once,Movie,Hollywood,"Mystery, Biography",A masterpiece of direction and acting.,2017-04-27,6.4,74
656,The Batman,Movie,Bollywood,"Romance, Action",A gripping story of heroism and sacrifice.,2013-07-31,9.4,83
657,La La Land 1,Movie,Blockbuster,"Crime, Action",Visual spectacle with groundbreaking effects.,2020-12-04,6.1,85
658,Spider-Man: No Way Home 7,Movie,Hollywood,Fantasy,Visual spectacle with groundbreaking effects.,2023-04-07,8.7,89
659,The Godfather,Movie,Hollywood,"Horror, Horror",Heartwarming tale with unforgettable characters.,2021-11-19,8.8,96
660,Spider-Man: No Way Home 4,Movie,Bollywood,Crime,Intense psychological thriller.,2015-01-22,6.8,66
661,Black Panther,Movie,Indie,Action,An epic journey through space and time.,2023-03-03,7.6,70
662,Jojo Rabbit 9,Movie,Bollywood,Horror,A gripping story of heroism and sacrifice.,2021-08-06,9.4,90
663,1917,Movie,Blockbuster,"Fantasy, Thriller",An epic journey through space and time.,2019-07-27,9.1,91
664,Dune 5,Movie,International,Adventure,Visual spectacle with groundbreaking effects.,2019-07-19,7.1,94
665,No Time to Die,Movie,International,Action,Visual spectacle with groundbreaking effects.,2018-09-28,6.3,84
666,Everything Everywhere All at Once,Movie,Hollywood,Fantasy,Intense psychological thriller.,2020-02-14,7.3,86
667,No Time to Die,Movie,Classic,"Action, Comedy",Visual spectacle with groundbreaking effects.,2012-12-09,9.1,75
668,Fight Club 9,Movie,Indie,Thriller,Mind-bending visuals and deep philosophical themes.,2018-05-30,7.4,73
669,Inception 6,Movie,Bollywood,"Biography, Crime",Mind-bending visuals and deep philosophical themes.,2013-04-30,6.0,89
670,Parasite,Movie,Bollywood,Crime,Visual spectacle with groundbreaking effects.,2020-08-20,9.4,78
671,Joker,Movie,International,"Drama, Adventure",A gripping story of heroism and sacrifice.,2021-12-11,7.5,73
672,1917 6,Movie,Classic,Fantasy,Visual spectacle with groundbreaking effects.,2023-12-17,8.8,74
673,Get Out,Movie,Blockbuster,"Romance, Drama",Heartwarming tale with unforgettable characters.,2025-11-28,9.1,89
674,Tenet,Movie,International,"Thriller, Fantasy",A masterpiece of direction and acting.,2019-03-18,7.4,75
675,Spider-Man: No Way Home,Movie,Blockbuster,"Crime, Adventure",Revolutionary storytelling and stunning action.,2024-03-01,8.3,78
676,Avengers: Endgame 8,Movie,Bollywood,Romance,Intense psychological thriller.,2023-11-15,7.6,90
677,Spider-Man: No Way Home,Movie,Indie,Crime,Intense psychological thriller.,2016-08-21,8.6,99
678,The Dark Knight 2,Movie,International,"Crime, Adventure",A masterpiece of direction and acting.,2025-09-08,8.2,83
679,La La Land,Movie,Blockbuster,"Crime, Thriller",A gripping story of heroism and sacrifice.,2017-03-17,7.6,81
680,Knives Out,Movie,Blockbuster,"Romance, Thriller",A masterpiece of direction and acting.,2013-07-01,7.9,69
681,The Godfather,Movie,International,Crime,A masterpiece of direction and acting.,2025-02-07,7.8,86
682,Joker 7,Movie,Bollywood,Comedy,A gripping story of heroism and sacrifice.,2021-10-31,8.3,89
683,The Shawshank Redemption 6,Movie,International,Drama,Visual spectacle with groundbreaking effects.,2024-12-11,6.4,87
684,The Shawshank Redemption,Movie,International,Fantasy,Visual spectacle with groundbreaking effects.,2021-07-06,7.7,89
685,Fight Club 9,Movie,Indie,"Biography, Comedy",An epic journey through space and time.,2013-04-08,8.8,91
686,Pulp Fiction,Movie,Bollywood,Horror,Revolutionary storytelling and stunning action.,2019-10-01,8.2,92
687,Dune,Movie,International,"Adventure, Action",A gripping story of heroism and sacrifice.,2018-05-22,6.6,83
688,Spider-Man: No Way Home 4,Movie,Indie,"Adventure, Drama",Revolutionary storytelling and stunning action.,2019-06-25,8.2,73
689,The Revenant 6,Movie,Classic,"Thriller, Romance",Heartwarming tale with unforgettable characters.,2018-06-10,9.5,65
690,Get Out,Movie,Hollywood,"Horror, Fantasy",An epic journey through space and time.,2015-05-11,7.6,73
691,Black Panther,Movie,Classic,"Action, Sci-Fi",A masterpiece of direction and acting.,2025-06-06,6.9,99
692,Jojo Rabbit,Movie,International,"Biography, Comedy",Intense psychological thriller.,2022-08-03,6.3,65
693,Inception,Movie,Classic,"Thriller, Action",Heartwarming tale with unforgettable characters.,2013-06-14,8.8,93
694,1917,Movie,Classic,"Comedy, Thriller",Visual spectacle with groundbreaking effects.,2016-11-23,9.2,86
695,Fight Club 3,Movie,Hollywood,"Horror, Action",Heartwarming tale with unforgettable characters.,2020-07-07,6.5,78
696,The Batman,Movie,Classic,"Sci-Fi, Sci-Fi",Intense psychological thriller.,2016-10-31,7.6,98
697,Black Panther,Movie,Bollywood,Romance,Mind-bending visuals and deep philosophical themes.,2014-03-26,8.6,89
698,The Dark Knight 4,Movie,Classic,Mystery,An epic journey through space and time.,2018-11-12,7.5,68
699,Forrest Gump 1,Movie,Classic,Adventure,Heartwarming tale with unforgettable characters.,2014-12-23,9.8,86
700,Joker 8,Movie,Indie,Sci-Fi,Mind-bending visuals and deep philosophical themes.,2012-11-11,6.4,89
701,Once Upon a Time in Hollywood,Movie,Classic,"Adventure, Mystery",Mind-bending visuals and deep philosophical themes.,2021-01-10,9.0,67
702,The Godfather,Movie,Classic,"Romance, Romance",Visual spectacle with groundbreaking effects.,2020-05-09,8.3,79
703,Avengers: Endgame,Movie,Classic,Romance,Mind-bending visuals and deep philosophical themes.,2013-10-13,7.3,84
704,The Grand Budapest Hotel,Movie,Bollywood,"Drama, Adventure",Intense psychological thriller.,2020-11-22,9.6,87
705,Tenet,Movie,International,"Drama, Adventure",Revolutionary storytelling and stunning action.,2022-09-19,9.5,87
706,Avengers: Endgame 9,Movie,Hollywood,Action,Heartwarming tale with unforgettable characters.,2023-02-05,7.4,98
707,Jojo Rabbit,Movie,Indie,"Sci-Fi, Biography",Heartwarming tale with unforgettable characters.,2026-02-08,8.1,95
708,Whiplash,Movie,Bollywood,Adventure,Visual spectacle with groundbreaking effects.,2017-07-02,9.8,67
709,Mad Max: Fury Road 5,Movie,Bollywood,Crime,An epic journey through space and time.,2024-08-18,9.5,66
710,Get Out 6,Movie,Hollywood,Sci-Fi,Mind-bending visuals and deep philosophical themes.,2023-02-17,8.0,66
711,Top Gun: Maverick,Movie,International,Sci-Fi,Intense psychological thriller.,2019-01-25,6.4,90
712,Avengers: Endgame,Movie,Blockbuster,Biography,Intense psychological thriller.,2025-01-22,9.7,80
713,Interstellar,Movie,Indie,Mystery,Revolutionary storytelling and stunning action.,2014-10-24,9.0,77
714,Pulp Fiction 2,Movie,Bollywood,Romance,Mind-bending visuals and deep philosophical themes.,2017-04-06,7.1,88
715,No Time to Die,Movie,Indie,Mystery,Mind-bending visuals and deep philosophical themes.,2019-06-28,6.4,70
716,Dune,Movie,Blockbuster,Romance,A gripping story of heroism and sacrifice.,2022-05-31,9.3,76
717,Interstellar,Movie,Classic,"Sci-Fi, Biography",Mind-bending visuals and deep philosophical themes.,2022-11-28,7.7,70
718,The Godfather,Movie,International,"Thriller, Adventure",Mind-bending visuals and deep philosophical themes.,2024-12-31,9.2,72
719,Whiplash,Movie,Blockbuster,"Mystery, Mystery",A gripping story of heroism and sacrifice.,2013-04-11,7.1,99
720,Jojo Rabbit,Movie,Blockbuster,"Crime, Comedy",Revolutionary storytelling and stunning action.,2013-04-10,6.6,68
721,Get Out,Movie,Indie,Horror,Revolutionary storytelling and stunning action.,2013-08-18,6.3,73
722,Joker,Movie,Blockbuster,Action,Heartwarming tale with unforgettable characters.,2014-07-17,9.3,97
723,Barbie 9,Movie,Classic,Sci-Fi,A gripping story of heroism and sacrifice.,2022-06-12,8.2,99
724,Whiplash 8,Movie,Blockbuster,Action,Mind-bending visuals and deep philosophical themes.,2023-04-28,8.7,83
725,1917 5,Movie,Blockbuster,Drama,A gripping story of heroism and sacrifice.,2020-10-06,8.9,72
726,Tenet,Movie,International,Mystery,An epic journey through space and time.,2017-07-14,9.3,73
727,Once Upon a Time in Hollywood,Movie,Bollywood,"Romance, Mystery",Visual spectacle with groundbreaking effects.,2017-08-03,8.9,94
728,The Grand Budapest Hotel,Movie,Blockbuster,Mystery,Revolutionary storytelling and stunning action.,2022-09-23,6.4,79
729,Tenet,Movie,Hollywood,Mystery,Visual spectacle with groundbreaking effects.,2023-04-16,6.3,89
730,No Time to Die,Movie,International,"Mystery, Thriller",A gripping story of heroism and sacrifice.,2022-03-13,7.7,69
731,Whiplash,Movie,Blockbuster,Adventure,Mind-bending visuals and deep philosophical themes.,2013-01-30,6.7,91
732,No Time to Die 6,Movie,Blockbuster,Drama,Intense psychological thriller.,2023-05-10,8.9,87
733,Inception 2,Movie,International,"Sci-Fi, Mystery",An epic journey through space and time.,2014-06-05,8.1,68
734,The Batman 8,Movie,Indie,Fantasy,Heartwarming tale with unforgettable characters.,2025-04-19,8.4,84
735,Tenet 6,Movie,Hollywood,Drama,Intense psychological thriller.,2016-02-21,7.3,91
736,1917,Movie,Blockbuster,Horror,Visual spectacle with groundbreaking effects.,2015-05-27,9.7,83
737,Avengers: Endgame,Movie,Classic,Comedy,Mind-bending visuals and deep philosophical themes.,2016-01-11,7.0,73
738,The Matrix,Movie,International,Romance,Heartwarming tale with unforgettable characters.,2017-06-01,8.0,86
739,Parasite,Movie,International,Drama,Heartwarming tale with unforgettable characters.,2017-12-18,8.2,96
740,Dune,Movie,International,Comedy,Visual spectacle with groundbreaking effects.,2017-11-10,9.3,83
741,Mad Max: Fury Road 8,Movie,Classic,"Crime, Adventure",An epic journey through space and time.,2025-01-07,8.5,80
742,Barbie,Movie,Bollywood,"Romance, Horror",A gripping story of heroism and sacrifice.,2013-10-16,9.8,77
743,Whiplash,Movie,Blockbuster,"Fantasy, Drama",Heartwarming tale with unforgettable characters.,2025-06-14,7.3,76
744,Black Panther 9,Movie,International,"Horror, Adventure",An epic journey through space and time.,2023-12-11,9.6,73
745,Whiplash 2,Movie,Classic,"Sci-Fi, Drama",An epic journey through space and time.,2014-12-10,7.0,91
746,Fight Club 9,Movie,Blockbuster,"Comedy, Horror",A gripping story of heroism and sacrifice.,2021-01-19,6.9,81
747,The Irishman,Movie,Hollywood,Mystery,An epic journey through space and time.,2022-10-11,7.2,66
748,Everything Everywhere All at Once,Movie,Blockbuster,Sci-Fi,A masterpiece of direction and acting.,2016-10-16,9.3,83
749,Knives Out,Movie,Bollywood,"Biography, Horror",Revolutionary storytelling and stunning action.,2017-06-19,9.7,83
750,Avengers: Endgame,Movie,Hollywood,Thriller,A masterpiece of direction and acting.,2020-04-03,6.6,66
751,Inception 5,Movie,Blockbuster,"Comedy, Action",Revolutionary storytelling and stunning action.,2014-11-19,8.4,99
752,The Matrix,Movie,Bollywood,Adventure,An epic journey through space and time.,2012-10-05,6.0,65
753,Barbie,Movie,International,Fantasy,Visual spectacle with groundbreaking effects.,2017-07-04,9.4,86
754,1917,Movie,Hollywood,"Adventure, Comedy",An epic journey through space and time.,2021-09-26,7.0,70
755,Barbie,Movie,Bollywood,Drama,A gripping story of heroism and sacrifice.,2020-03-05,6.5,70
756,Fight Club,Movie,International,Sci-Fi,A masterpiece of direction and acting.,2020-11-05,6.1,99
757,The Irishman,Movie,Hollywood,Crime,An epic journey through space and time.,2022-05-01,8.8,74
758,Fight Club,Movie,Blockbuster,"Action, Action",An epic journey through space and time.,2018-01-22,8.4,65
759,Oppenheimer,Movie,Indie,Romance,An epic journey through space and time.,2020-11-29,8.6,98
760,Forrest Gump,Movie,Blockbuster,"Romance, Horror",Mind-bending visuals and deep philosophical themes.,2016-10-02,6.5,89
